"","Address","Number","Street","Number.of.People","Bathrooms","Beds.Average","Full.Beds","Quiet","Fire.Code.Capacity","Minutes.to.Fountain","Minutes.to.Olin","Minutes.to.Gym","Reserve","ADA.Compliance","New","Duplex","Link","X"
"113","1B Vine Street","1B","Vine Street",5,1,1,0,"NO",17,3,4,2,"NO","NO","NO","YES","<a href='http://wesleyan.edu/reslife/housing/apartments/1_vine.htm' target='_blank'>http://wesleyan.edu/reslife/housing/apartments/1_vine.htm</a>",NA
"114","1C Vine Street","1C","Vine Street",5,1,1,0,"NO",18,3,4,2,"NO","NO","NO","YES","<a href='http://wesleyan.edu/reslife/housing/apartments/1_vine.htm' target='_blank'>http://wesleyan.edu/reslife/housing/apartments/1_vine.htm</a>",NA
"115","6 Warren Street","6","Warren Street",5,2,2,5,"NO",11,4,5,1,"NO","NO","NO","NO","<a href='http://wesleyan.edu/reslife/housing/woodframe/6_warren.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/6_warren.htm</a>",NA
"116","8 Warren Street","8","Warren Street",5,1,2,5,"NO",20,4,5,1,"NO","NO","NO","NO","<a href='http://wesleyan.edu/reslife/housing/woodframe/8_warren.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/8_warren.htm</a>",NA
"117","12 Warren Street","12","Warren Street",5,1.5,2,5,"NO",32,3,6,1,"NO","NO","NO","NO","<a href='http://wesleyan.edu/reslife/housing/woodframe/12_warren.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/12_warren.htm</a>",NA
"118","14C Warren Street","14C","Warren Street",5,1,2,5,"NO",27,3,6,1,"NO","YES","YES","YES","<a href='http://wesleyan.edu/reslife/housing/woodframe/14_warren_c.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/14_warren_c.htm</a>",NA
"119","346 Washington Street","346","Washington Street",5,1.5,2,5,"NO",21,12,11,12,"NO","NO","NO","NO","<a href='https://www.wesleyan.edu/reslife/housing/woodframe/346_washington.htm' target='_blank'>https://www.wesleyan.edu/reslife/housing/woodframe/346_washington.htm</a>",NA
"120","200 College Street","200","College Street",6,1.5,2,6,"NO",23,12,7,12,"NO","NO","NO","NO","<a href='http://wesleyan.edu/reslife/housing/woodframe/200_college.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/200_college.htm</a>",NA
"121","146 Cross Street","146","Cross Street",6,2,2,6,"NO",18,3,4,1,"NO","NO","NO","NO","<a href='http://wesleyan.edu/reslife/housing/woodframe/146_cross.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/146_cross.htm</a>",NA
"122","56 Fountain Avenue","56","Fountain Avenue",6,2,2,6,"NO",28,1,4,3,"NO","NO","NO","NO","<a href='http://wesleyan.edu/reslife/housing/woodframe/56_fountain.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/56_fountain.htm</a>",NA
"123","64 Fountain Avenue","64","Fountain Avenue",6,2,1.83,5,"NO",21,1,3,2,"NO","NO","NO","NO","<a href='http://wesleyan.edu/reslife/housing/woodframe/64_fountain.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/64_fountain.htm</a>",NA
